,Longitude(x),Latitude(y),Wind power density_100m(W/m2 ),Windspeed_50 (m/s),Windspeed_100 (m/s),Windspeed_200 (m/s),Distance to the closest Airport (kms),Distance to the closest Builtup (kms),Distance to the closest roads (kms),Distance to the closest Agricultural area (kms),Distance to the closest Barren area (kms),Distance to the closest Settlement (kms),Distance to the closest Shrubland (kms),Distance to the closest Vegetation (kms),Distance to the closest Water (kms),Distance to the closest Wetland (kms),Distance to the closest Forest (kms),Distance to the closest Grassland (kms),Distance to the closest Substation (kms),meters,Elevation of Turbines (meters),Slope,Country
1,4.201312661785714,48.48420164428571,299.45818357142855,5.333576428571429,6.548454999999998,7.5599035714285705,317.38446634285714,21.83369365357143,5.431565197785714,5.645124962642855,21.055147651428566,5.123615408357142,419.41729645,7.741224997928572,16.705037519285714,9.732455683857143,5.225968372,10.626942999857144,2.662515895746428,543.8808923571429,147.85714285714286,1.5971564285714286,France
9,15.300576451111112,41.188728469999994,785.4492599999999,6.603993333333333,6.779107777777778,7.339063703703704,124.08907744444444,16.78978215,3.6529617765555553,7.496965293814814,2.7076802371592597,2.7005954219814816,28.029487677037036,36.91254689037038,25.911553157407404,25.08111172148148,1.9658525364814818,0.8472391862740741,14.894240495925922,0.0,985.7777777777778,7.557920740740741,Italy
10,15.893524952000002,40.729629818,215.42468399999998,3.733466,4.001972,4.549118,87.61240398200002,11.819172194,7.122921614800001,2.5596292521999997,2.328057312,2.2954716044000003,5.5943691310000006,20.817579932,5.3875289818,39.078665908000005,1.0202484894000001,2.5713070748,10.271024061999999,270.67691356000006,860.2,5.22966,Italy
11,27.326158019999998,37.89779277,539.683096,7.191376,7.90939,8.303958,5.942780804,7.9504238742,3.9114692724,1.7277630784,2.9578495302,4.445149676200001,2.5793807836,36.46700361,5.0961488574,5.4469066584000005,0.58061130212,11.664052645999998,13.244338124,354.06065114,499.0,12.983794,Turkey
13,13.655743421875002,37.70465358187499,239.83576999999997,4.1575825,4.470391874999999,4.8770493749999995,72.02928716875,30.482189699375,6.162342193750001,8.292022198125,8.002590689125,5.032705112312501,7.946789679250001,18.026493246250002,10.1064225079375,56.533009425625,7.3819633661875,3.816723537812499,30.546548387500003,298.98790909999997,647.5625,5.761914374999999,Italy
14,8.981735012714287,40.91933152857143,270.741676,4.616226571428571,4.970374285714287,5.495939714285716,117.34304482857144,9.85432779182857,5.762731747885714,2.0906233148,6.373410583828573,6.606097116171428,0.7561620535114285,4.4279586771714285,8.109674878485713,13.72801822942857,0.8310123065942857,0.5438427363425713,57.47000426600001,136.89851764742855,818.7428571428571,8.492568285714286,Italy
16,27.488934240000003,37.416979143333336,506.34093888888884,7.250523333333335,7.7607244444444445,8.14759777777778,24.11644794111111,16.793429784444445,6.708530512444444,1.5370029936666667,3.399009734222222,4.387485180555556,2.607234510222222,10.321307796666668,6.282056543555556,8.384539337555555,4.464982917,5.638087213555555,45.816903977777784,227.25176877777778,820.4444444444445,14.89699,Turkey
18,27.744816055294116,38.917265447647054,309.3249911764706,5.1073347058823515,6.063563529411764,6.947674705882354,11.536642328470592,2.7141749265823534,4.03753085082353,2.479195334823529,0.6929348542194118,1.7373866893764707,13.793072041764704,8.123517404176468,34.15532530352941,62.661713902352936,1.5652032825235294,2.8632587657647064,32.37234124352942,275.7713122705883,150.64705882352942,2.940851176470588,Turkey
19,26.39713816,38.28523430166667,532.4210466666667,7.171353333333333,8.0721525,8.976124166666667,5.299367552083334,6.620164679916666,5.019667131416667,1.373572636075,0.81805595285,0.7744323093083333,0.30021530747249997,1.9216476541666667,1.5376405950000003,13.66908920583333,4.657156390083333,0.6788705220333333,68.79738048083333,161.8552199066667,69.33333333333333,4.891095833333334,Turkey
22,117.77569453529411,-35.055226932941174,437.48044411764704,6.5583576470588225,7.58391411764706,8.645684705882353,12.894542143529414,240.90617037647056,8.059376898764707,14.587346671176471,136.96706780588232,6.849644259588236,3.1369941115294124,27.822128283529413,0.7129470232411764,37.46233992764706,3.980638794235294,10.145703355352941,150.45903481764705,313.2165637235294,112.05882352941177,2.991625294117647,Australia
